,size,true_value_max,true_value_min,value_max,value_max_time,value_min_def,value_min_def_time,delta_max,delta_min
1,2,0.9952387128181542,0.031896457401622724,0.9952390039788235,0.0010075569152832031,0.031896457378059094,0.0005030632019042969,2.9116066924128603e-07,2.3563630213718767e-11
2,2,1.1285385996014798,0.32491047730250744,1.128539662548608,0.0003254413604736328,0.32491026820561053,0.0,1.0629471280942937e-06,2.0909689690817856e-07
3,2,0.7916822834707075,0.33547666118223485,0.7917789324366161,0.0,0.3354759276271502,0.0,9.664896590866334e-05,7.33555084619919e-07
4,2,0.6919215448112602,0.15870371652390458,0.6919229672245941,0.0,0.15870374667939138,0.0010004043579101562,1.4224133338958111e-06,3.0155486802074805e-08
5,2,1.196795873193948,0.019995041523635543,1.1967959081356279,0.0,0.019995041525223207,0.0,3.4941679771804957e-08,1.5876640280243492e-12
6,2,1.4071423180721512,0.653381019744203,1.4071280162344282,0.0,0.6533837767991744,0.0010025501251220703,1.4301837722996424e-05,2.757054971325168e-06
7,2,0.8970024227018528,0.4394547541803199,0.8970114869370708,0.0,0.43945324286055326,0.0007581710815429688,9.064235217959293e-06,1.511319766611674e-06
8,2,1.1566660977939007,0.5046163298503386,1.1566732500407892,0.0,0.5046152562651391,0.0,7.1522468885198975e-06,1.0735851994070345e-06
9,2,1.070197537303704,0.07328207455287106,1.0701975829360624,0.0010082721710205078,0.07328207648164609,0.0,4.5632358336433754e-08,1.928775028581242e-09
10,2,1.0531788158358402,0.4024879258994398,1.0531770383032473,0.0,0.4024877385046992,0.0006957054138183594,1.777532592894815e-06,1.8739474061391093e-07
11,2,0.7853204670798484,0.06288922545940356,0.785320528689301,0.0,0.06288922672917562,0.0,6.16094526506572e-08,1.2697720513932254e-09
12,2,0.8236931961885026,0.7326182611978688,0.82376744276723,0.0010080337524414062,0.7325791580714601,0.0008165836334228516,7.424657872745488e-05,3.9103126408646105e-05
13,2,0.8848295094814983,0.30501750227418234,0.8848305294608394,0.0,0.30501768424733394,0.0,1.0199793410992086e-06,1.8197315160284333e-07
14,2,1.4098823494532247,0.32553415502441396,1.4098844681716887,0.0,0.32553389489877754,0.0,2.1187184640059087e-06,2.601256364198612e-07
15,2,1.0262818194792902,0.14488037446164193,1.0262821660982315,0.0,0.14488039053146448,0.0,3.466189413270371e-07,1.6069822555975222e-08
16,2,0.6989512270799119,0.17399213447580797,0.6989538706169227,0.0,0.17399222065494127,0.0,2.643537010849073e-06,8.617913330177807e-08
17,2,0.8376889114762155,0.21141825491376853,0.8376876424606622,0.0010013580322265625,0.21141829252509042,0.0,1.2690155533068292e-06,3.7611321890285154e-08
18,2,1.2599684086640588,0.2951123347313749,1.2599675328232374,0.0,0.2951122702833584,0.0,8.75840821423779e-07,6.44480164790906e-08
19,2,1.1705327650655253,0.5877355106108563,1.170535512073947,0.0,0.5877366157010216,0.0011518001556396484,2.7470084216218993e-06,1.10509016537641e-06
20,2,0.9245367474851549,0.42212503146060254,0.924543515143011,0.0,0.42212389065997175,0.0010018348693847656,6.767657856121545e-06,1.1408006307944696e-06
21,2,0.269389661689496,0.011206214957350663,0.2693896373383769,0.0,0.011206214961864447,0.0,2.4351119121135412e-08,4.513783444237696e-12
22,2,1.4042655610041148,0.3224055558810179,1.4042630831775207,0.0,0.3224056838307302,0.0,2.477826594127208e-06,1.279497123252149e-07
23,2,0.7636112496080201,0.40017162357517466,0.7636132041021111,0.0,0.40017205118803856,0.0,1.9544940910165565e-06,4.276128638958099e-07
24,2,1.2037461023116196,0.042839146025456465,1.203745962298449,0.0009996891021728516,0.04283914598954673,0.0,1.400131706130736e-07,3.5909733520078646e-11
25,2,0.9840104434015833,0.5760905913613021,0.9840203911412901,0.0,0.5760862106328694,0.0,9.94773970686147e-06,4.380728432784586e-06
26,2,0.8404800629737614,0.21108602705840868,0.8404798717804329,0.0,0.21108606744779915,0.0010001659393310547,1.911933285025924e-07,4.0389390471018416e-08
27,2,1.3344743456285308,0.2793713573294781,1.334472722800989,0.0,0.27937132346304355,0.0,1.6228275419027938e-06,3.386643454561522e-08
28,2,0.31330549031403604,0.0386728272592399,0.3133066584054651,0.0,0.03867282549312596,0.0,1.168091429082363e-06,1.7661139425917405e-09
29,2,0.9951458576312953,0.03142608773569555,0.9951458712864022,0.0,0.03142608772515903,0.0009999275207519531,1.3655106934074013e-08,1.053652304294772e-11
30,2,1.1117170028947543,0.6154188368969495,1.1116890665924926,0.0,0.6154204911038823,0.0,2.7936302261721835e-05,1.6542069327663e-06
31,2,0.9614597107566992,0.010518552315303742,0.9614597155611604,0.0,0.010518552316276632,0.0,4.804461162244422e-09,9.728901712025007e-13
32,2,1.0969662401345912,0.3283800890147248,1.0969653030362019,0.0,0.3283803254031055,0.0,9.370983893308704e-07,2.363883807032785e-07
33,2,0.6021412986469191,0.155492729688417,0.602142876773489,0.0,0.1554926860887315,0.0,1.5781265698677771e-06,4.359968547307247e-08
34,2,0.7370618809794673,0.48407075361374163,0.7370764660323204,0.0,0.48406735858608124,0.0,1.4585052853011149e-05,3.3950276603911256e-06
35,2,0.43276310021991554,0.014130046147224573,0.4327631886124771,0.0,0.014130046108511152,0.0,8.8392561548023e-08,3.871342135752798e-11
36,2,1.4579286064954473,0.30605954858672046,1.4579278687968575,0.0,0.30605970893338613,0.0,7.376985897700195e-07,1.603466656674435e-07
37,2,1.3658234565422254,0.261285338582917,1.3658230682694463,0.0,0.2612853162776347,0.0,3.882727790394114e-07,2.2305282343371147e-08
38,2,0.708574634345985,0.09452784785054158,0.7085750114949881,0.0009965896606445312,0.09452784226187784,0.0,3.771490031390101e-07,5.588663740119237e-09
39,2,0.7089244791797156,0.24117802212940975,0.708925804651565,0.0,0.24117812733406244,0.0,1.3254718493893591e-06,1.0520465268393231e-07
40,2,0.728970716923014,0.41829473780762766,0.7289830413960042,0.0,0.41829627455682883,0.0009996891021728516,1.2324472990266067e-05,1.5367492011697514e-06
41,2,1.2571857699502067,0.5199994385858402,1.257187418013858,0.0,0.5199998181716515,0.0,1.6480636513271918e-06,3.795858113386785e-07
42,2,0.9714191379227674,0.06844962183380893,0.9714189448642663,0.0009999275207519531,0.0684496211583903,0.0,1.9305850107453892e-07,6.754186238078219e-10
43,2,1.3468511123968967,0.24343441067148552,1.3468519111472463,0.0,0.24343434535875075,0.0,7.987503496398318e-07,6.531273477605737e-08
44,2,1.3321104593546398,0.15500055728415874,1.3321100526631156,0.0,0.15500056270178006,0.0010013580322265625,4.0669152423511434e-07,5.417621323777766e-09
45,2,0.4725614919191211,0.04379812051374976,0.47256164531290723,0.0,0.043798120037628153,0.0,1.533937861175616e-07,4.761216074178343e-10
46,2,1.62236080639494,0.2337934700200759,1.6223603329041691,0.0,0.23379348047977244,0.0,4.734907708137115e-07,1.0459696553333231e-08
47,2,0.9744347280295692,0.07814792788407554,0.9744344303573328,0.00031638145446777344,0.07814792931197344,0.0,2.976722364156359e-07,1.427897897143815e-09
48,2,0.19545269945258117,0.09472401360060123,0.19545442077453185,0.0,0.09472404262808647,0.0010018348693847656,1.7213219506706512e-06,2.90274852349226e-08
49,2,1.2195859643203621,0.5331267242969381,1.2195878065647208,0.0009999275207519531,0.5331261172417872,0.0,1.8422443586185722e-06,6.070551509251843e-07
50,2,1.2831877664653202,0.11255577665354011,1.2831885887949017,0.0015909671783447266,0.11255577519876907,0.0,8.223295815401599e-07,1.4547710397438962e-09
51,2,1.3860715355008266,0.23860476658670993,1.3860732113374297,0.0,0.23860470062803718,0.0,1.6758366030433791e-06,6.595867274583611e-08
52,2,0.8532688745529304,0.30831536029489215,0.8532650952248841,0.0,0.3083157786518775,0.0,3.779328046293884e-06,4.1835698533221333e-07
53,2,0.8436593646512651,0.15786514465988274,0.8436578717413566,0.0,0.1578651031968626,0.0009949207305908203,1.4929099084737274e-06,4.146302015617387e-08
54,2,1.3809604582019643,0.041966435010841296,1.380960447566288,0.0,0.041966435147032154,0.0,1.0635676339632028e-08,1.3619085720284474e-10
55,2,0.8964610691583017,0.08658510076863496,0.8964620098803977,0.0010006427764892578,0.08658509281726666,0.0,9.40722095998936e-07,7.951368299896622e-09
56,2,0.6076888832582635,0.01543355011557277,0.6076888595964541,0.0,0.015433550158807322,0.0010013580322265625,2.3661809400721268e-08,4.3234551355686435e-11
57,2,1.0227483310046528,0.11537600805191456,1.0227473233087219,0.0,0.11537600545271777,0.0,1.0076959309213152e-06,2.599196788355407e-09
58,2,1.1558639848791064,0.298432369362762,1.1558658399739414,0.0,0.29843253312263884,0.001127004623413086,1.855094835079285e-06,1.6375987682559767e-07
59,2,0.9781394663700489,0.5252153137143896,0.97814712891816,0.0,0.5252135357539128,0.0,7.662548111131429e-06,1.777960476734286e-06
60,2,0.8852327201778407,0.3782125682719951,0.8852313443628889,0.0,0.3782122391168708,0.0,1.3758149518539042e-06,3.291551243234103e-07
61,2,0.7666728058920507,0.3168748112603968,0.7666673084053024,0.0,0.3168751578896932,0.0,5.497486748273772e-06,3.466292964326989e-07
62,2,1.1747954212127156,0.3761329227279613,1.17479314463612,0.0,0.37613280196011145,0.0010478496551513672,2.276576595683366e-06,1.207678498316156e-07
63,2,1.1896184452016403,0.3528138439734948,1.1896205574885037,0.0,0.3528135298704456,0.0,2.112286863420465e-06,3.1410304918155774e-07
64,2,0.5516046972339401,0.2569710990076475,0.5516118437401835,0.0,0.256970658927777,0.0006048679351806641,7.146506243338457e-06,4.4007987048955144e-07
65,2,1.2444613636870698,0.2444888835315424,1.2444617312422617,0.0,0.24448897325976215,0.0,3.6755519183806484e-07,8.972821974317924e-08
66,2,0.8317709769043028,0.5556305688567686,0.8317740360779898,0.0005662441253662109,0.5556294923437552,0.0005238056182861328,3.059173687036676e-06,1.0765130133982836e-06
67,2,0.8579399114360611,0.5620887279638631,0.8579545261228347,0.0,0.5620843836085513,0.0010061264038085938,1.4614686773661845e-05,4.344355311824977e-06
68,2,1.3356244555529506,0.08556241716424506,1.3356246723611338,0.0,0.08556242199873189,0.0,2.1680818318436934e-07,4.83448682475629e-09
69,2,0.7650406017732975,0.27581237835419253,0.7650416510217302,0.0009984970092773438,0.2758122739732274,0.00026869773864746094,1.0492484326940499e-06,1.0438096514908679e-07
70,2,1.3700199653677154,0.25330705301386536,1.370020283761989,0.0003809928894042969,0.25330697715105693,0.0,3.1839427361290973e-07,7.586280842408755e-08
71,2,0.8298986625295517,0.1859235782944043,0.8298973849972564,0.0,0.1859235423896359,0.0,1.2775322952851553e-06,3.590476840842349e-08
72,2,0.976175945799653,0.2524513859382159,0.9761739937435596,0.0,0.25245142327299225,0.0,1.9520560934349618e-06,3.733477632605897e-08
73,2,0.7135716556919317,0.10862238856355183,0.7135711888411089,0.0,0.10862239191309543,0.0,4.668508227778645e-07,3.349543600816851e-09
74,2,0.9613570955778147,0.11498951963824305,0.9613566348044844,0.0,0.11498951331034821,0.0,4.6077333026861567e-07,6.327894847002469e-09
75,2,1.3181860485735541,0.16190515466262023,1.3181855076858644,0.0,0.16190517597968496,0.0,5.408876897483594e-07,2.1317064724524215e-08
76,2,1.0408798855046122,0.19567769006124214,1.0408818850731323,0.0,0.19567765962082354,0.0,1.999568520094641e-06,3.044041860245095e-08
77,2,1.7057952237020793,0.042926650551474044,1.7057951272775238,0.0,0.04292665062560724,0.0,9.642455545133544e-08,7.413319957905173e-11
78,2,1.01782679013615,0.05427622632310314,1.0178266350586826,0.0,0.05427622605851768,0.0,1.5507746731202587e-07,2.645854577099094e-10
79,2,0.6779421339814374,0.14449878317239223,0.6779426127356264,0.0,0.14449879434283472,0.0,4.787541889594848e-07,1.1170442487662413e-08
80,2,0.6348410776975203,0.07491042324787572,0.6348400961207482,0.0,0.07491042208766123,0.0,9.815767720855462e-07,1.1602144939226733e-09
81,2,0.855262810676977,0.39153210529515553,0.8552607205332263,0.0,0.3915323754723487,0.0,2.090143750632656e-06,2.701771931734598e-07
