,size,value_max_time,value_min_def_time,delta_max,delta_min
64,2,0.0,0.0006048679351806641,7.146506243338457e-06,4.4007987048955144e-07
65,2,0.0,0.0,3.6755519183806484e-07,8.972821974317924e-08
66,2,0.0005662441253662109,0.0005238056182861328,3.059173687036676e-06,1.0765130133982836e-06
67,2,0.0,0.0010061264038085938,1.4614686773661845e-05,4.344355311824977e-06
68,2,0.0,0.0,2.1680818318436934e-07,4.83448682475629e-09
69,2,0.0009984970092773438,0.00026869773864746094,1.0492484326940499e-06,1.0438096514908679e-07
70,2,0.0003809928894042969,0.0,3.1839427361290973e-07,7.586280842408755e-08
71,2,0.0,0.0,1.2775322952851553e-06,3.590476840842349e-08
72,2,0.0,0.0,1.9520560934349618e-06,3.733477632605897e-08
73,2,0.0,0.0,4.668508227778645e-07,3.349543600816851e-09
74,2,0.0,0.0,4.6077333026861567e-07,6.327894847002469e-09
75,2,0.0,0.0,5.408876897483594e-07,2.1317064724524215e-08
76,2,0.0,0.0,1.999568520094641e-06,3.044041860245095e-08
77,2,0.0,0.0,9.642455545133544e-08,7.413319957905173e-11
78,2,0.0,0.0,1.5507746731202587e-07,2.645854577099094e-10
79,2,0.0,0.0,4.787541889594848e-07,1.1170442487662413e-08
80,2,0.0,0.0,9.815767720855462e-07,1.1602144939226733e-09
81,2,0.0,0.0,2.090143750632656e-06,2.701771931734598e-07
82,2,0.0,0.0,3.406135019867751e-06,1.0115492632412071e-07
83,2,0.0,0.0,9.469842198184253e-07,9.488738267338093e-10
84,2,0.0,0.0,1.6692752223823604e-06,3.910387111338842e-08
85,2,0.0,0.0,1.0479817027508886e-06,3.2604075855813264e-07
86,2,0.0,0.0,1.4194167430314764e-06,1.6562117718943448e-08
87,2,0.0,0.0,3.631294282380182e-06,1.6276193355313495e-06
88,2,0.0,0.0,3.58167436820267e-08,1.9230786060808747e-10
89,2,0.0,0.0,1.0704384996174099e-06,1.4947437970702637e-07
90,2,0.0,0.0,8.360097591975091e-07,4.550848559103926e-08
91,2,0.0,0.0,3.6752836107822873e-07,2.5757856847441474e-08
92,2,0.0,0.0,5.518077805799493e-07,2.233406742879751e-08
93,2,0.0,0.0,1.2465690331087131e-06,7.119137823696775e-08
94,2,0.0,0.0,3.3759602405813993e-06,9.594587263572762e-07
95,2,0.0,0.0,1.5335722278742026e-06,5.4262132231919225e-08
96,2,0.0,0.0,9.026102551601412e-06,3.907547954873358e-06
97,2,0.0,0.0,3.615939490053677e-07,2.5057817737428323e-08
98,2,0.0,0.0,1.4231317287949352e-06,1.497992515586688e-07
99,2,0.0,0.0,1.5418767366881525e-05,3.2099275795172133e-06
100,2,0.0,0.0,4.620612912287214e-07,4.9457136552799597e-08
101,3,0.0,0.002945423126220703,2.348786103789635e-05,3.8715959677082523e-07
102,3,0.001035451889038086,0.0009968280792236328,1.2923841936629543e-06,3.249790579973322e-07
103,3,0.0,0.0,7.068547463129349e-06,1.0604832265115327e-07
104,3,0.0,0.0020008087158203125,7.232370378140729e-07,2.562703877162509e-07
105,3,0.0,1.2698004245758057,5.687391309461276e-06,0.06092065609983233
106,3,0.001001596450805664,0.0,1.864628156766912e-06,5.376339719531664e-07
107,3,0.0,0.0,4.096279661247593e-06,7.988167199934892e-08
108,3,0.0,0.0,2.422869132878702e-06,6.681367153982265e-08
109,3,0.0,0.0,1.0930897571537201e-06,4.356531579929879e-09
110,3,0.0,0.2584218978881836,3.1405246456728264e-06,0.008084622511326689
111,3,0.0,1.315704584121704,2.6517229834155387e-07,0.038244899124193765
112,3,0.0,1.2806015014648438,7.433909710030662e-07,0.5040709285727281
113,3,0.0,0.0,5.791095425644599e-06,3.008908173729452e-07
114,3,0.0,1.242271900177002,9.759406409015625e-05,0.07556170792004538
115,3,0.0,0.0,1.2617369586909177e-06,1.589677879609841e-08
116,3,0.0,1.340834140777588,7.961228365438444e-08,1.78895474305019
117,3,0.0,0.0,2.1062108077618547e-06,6.012931194621096e-08
118,3,0.0,0.0,8.542661378285743e-08,2.9273620680281276e-10
119,3,0.0,0.006419658660888672,1.2203711530212047e-06,8.481023069939475e-08
120,3,0.0,0.0,2.318790583544228e-06,6.655848747150195e-08
121,3,0.0,0.07928681373596191,8.268514037901298e-07,0.25852154266648353
122,3,0.0,0.0,7.938183803624099e-07,2.6937114205871637e-09
123,3,0.0,0.0,6.942335817328171e-07,7.688954758999778e-08
124,3,0.0,1.49422287940979,4.8897270232828305e-08,0.09445063284164372
125,3,0.0,0.0,4.887587512492075e-07,3.573632216813394e-07
126,3,0.015633583068847656,0.0,7.477039513537065e-06,1.2209083743996985e-09
127,3,0.0,0.0,1.3993186489535958e-06,9.172785794819838e-11
128,3,0.0,0.0,6.37828511562688e-07,8.67476293575642e-09
129,3,0.0,1.3054149150848389,1.8380875612677983e-06,0.03457296972664747
130,3,0.0,0.002027750015258789,6.906488814184542e-07,3.8525367518360554e-07
131,3,0.0,0.8620502948760986,1.1340150751992795e-05,0.8273662193840983
132,3,0.0,0.0,9.961047311435323e-07,3.0882211052296604e-08
133,3,0.0,0.0,1.106094292402382e-05,8.502148082789596e-10
134,3,0.0,1.276848316192627,1.3320908414327093e-05,0.11249682342377831
135,3,0.0,0.003021240234375,6.980078932627976e-07,8.950278204689077e-08
136,3,0.0,0.0,7.54879228015426e-07,8.304079646137552e-12
137,3,0.0,0.0,1.0591773542678595e-06,1.4987078000849863e-06
138,3,0.0020248889923095703,1.3132421970367432,5.917558310031268e-08,0.1859367252692954
139,3,0.0,0.28702282905578613,1.8481742136700063e-08,0.07050470270290429
140,3,0.0,0.0,5.976024333165242e-06,3.3931901460837466e-07
141,3,0.0,1.3368613719940186,1.0691774414706146e-06,4.040202980778637
142,3,0.0,1.2898914813995361,7.243877409024435e-08,1.1102905146314817
143,3,0.0,0.0,2.0045508792865263e-06,1.375698975014661e-07
144,3,0.0,0.0,7.45745151631283e-07,7.500557938633357e-09
145,3,0.0,0.0,5.022567921564303e-07,1.2073083602293089e-08
146,3,0.0,1.2478673458099365,7.659505485424489e-07,0.024804715916423803
147,3,0.0,0.0,5.264028698270806e-06,7.954529397391497e-07
148,3,0.0,0.0,4.251868241933465e-07,2.1162974050970007e-07
149,3,0.0,0.0,2.7450257005234846e-06,9.070963272184152e-08
150,3,0.0,0.003506898880004883,6.401023023627772e-06,2.060764006661664e-08
151,3,0.0,0.0,3.452314279561719e-06,5.0075846247388256e-12
152,3,0.0,0.0,1.313003622538389e-05,3.904958800760028e-09
153,3,0.0,0.0015075206756591797,1.6781247658137488e-07,8.756615157978764e-08
154,3,0.0,0.0,3.8046726413831777e-07,1.7043843292263716e-07
155,3,0.0,0.0,5.645686944610873e-07,3.579362896355409e-09
156,3,0.0,0.005018949508666992,4.775015137070682e-06,1.8701945412313847e-06
157,3,0.0,0.0,1.4677137840646282e-06,8.400615064685368e-09
158,3,0.0,0.0,5.578219965940434e-07,6.401783303466857e-08
159,3,0.0,0.0,8.16638291012417e-06,5.367653621579649e-08
160,3,0.0,0.0050067901611328125,1.12449214881849e-05,4.162158673270966e-09
161,3,0.0,0.0,1.7574518240692782e-06,6.644980399261868e-11
162,3,0.0,1.2251076698303223,3.1806226963304596e-07,0.1303230919493794
163,3,0.0,0.0,1.1391994121368043e-06,4.657862068269125e-09
164,3,0.0,0.0,3.164072541750329e-07,6.979936517659269e-09
165,3,0.0,0.0,2.263018927362026e-06,4.0840907045147645e-12
166,3,0.0,0.0,1.3149813042012681e-05,7.99859310729456e-14
167,3,0.0,0.0,1.336179539457305e-06,5.866362950968096e-12
168,3,0.0,0.0,8.138322857620395e-06,1.2287782212516696e-05
169,3,0.0,0.004505157470703125,2.0121251274041185e-06,2.7925925460969836e-13
170,3,0.0,0.0,1.7165713737110622e-06,4.549032539546971e-09
171,3,0.0,1.2625060081481934,1.2126511972354592e-07,0.027098653730134648
172,3,0.0,0.0,1.0965844703392236e-06,6.964250777730108e-07
173,3,0.0,1.2649366855621338,1.0577571352143877e-06,0.011212334850839
174,3,0.003016233444213867,0.0,3.985188741673085e-06,9.200578410251126e-08
175,3,0.0,0.0,2.0133039829506316e-05,4.011080508292686e-07
176,3,0.0,0.0,6.648341503989741e-07,5.772654014801759e-07
177,3,0.0,0.0,2.2819716218869246e-06,5.675389148640519e-07
178,3,0.0,0.04269552230834961,1.3110076735323162e-06,3.756546731889734
179,3,0.0,1.2468242645263672,3.4198181153577423e-06,0.18571511923186512
180,3,0.005024909973144531,0.0,8.118797416578616e-07,3.353581976006659e-08
181,3,0.0,0.0,1.268953474831136e-05,1.366186790641155e-07
182,3,0.0,1.2652451992034912,2.9703680404224997e-08,0.47575104238001786
183,3,0.0,0.0,2.3494186769390524e-06,4.060972044750422e-09
184,3,0.0,0.02005743980407715,7.495946539037845e-07,6.650729599266825e-07
185,3,0.0,1.2899973392486572,7.308994542931657e-07,2.2485387185656194
186,3,0.0,0.001516580581665039,2.3413051126741635e-06,9.390489685845438e-08
187,3,0.0,0.0,1.2791987071825162e-06,9.123012725820168e-08
188,3,0.0,0.0,7.163615644900645e-06,6.114135656098973e-10
189,3,0.0,1.2554583549499512,8.286036323745805e-08,0.019924445973412086
190,3,0.0,0.0,4.0249398902680866e-07,1.0614018744470322e-07
191,3,0.0,0.0,1.441438970628539e-06,3.0297701741899274e-07
192,3,0.0,1.2554209232330322,2.1722411869262714e-08,0.0703518440686512
193,3,0.0,0.0,9.60161070651111e-07,4.1211166423860135e-12
194,3,0.0,0.0,8.613642159538415e-07,7.335574458422478e-07
195,3,0.0,0.0,2.557724916307791e-07,2.5210278795095853e-08
196,3,0.0,0.0,2.3174014165405765e-06,3.5466748288248695e-10
197,3,0.0,1.2801172733306885,1.2614784210995822e-05,0.025228752218161232
198,3,0.0,0.0,3.066022780773281e-06,2.242883297420839e-07
199,3,0.0,0.0,5.439359284986622e-06,1.102608629399704e-10
200,3,0.0,0.0050201416015625,5.531938462866037e-07,2.1181417039772832e-07
201,4,0.0,0.0,5.204242724166086e-05,1.1717076532358206e-06
202,4,0.0,0.0,5.5547227173491365e-06,2.0516602505793458e-07
203,4,0.0,0.0,7.529355396940218e-07,6.315081522989541e-08
204,4,0.0,1.269669771194458,2.3146236054483182e-06,0.0064375707952996075
205,4,0.0,0.0,9.96887042692407e-07,4.622476047766444e-09
206,4,0.0,0.0,1.0712693234715687e-06,4.920608028258222e-07
207,4,0.0,1.2683746814727783,2.2725398722833745e-06,332.0102445600878
208,4,0.0,0.0,2.260768843020955e-06,2.20387111338205e-11
209,4,0.0,1.2595539093017578,1.1660078231834348e-06,3.4074243891728053
210,4,0.0,0.0,1.2223219449936096e-06,7.022081567886751e-07
211,4,0.0,1.2602589130401611,2.1940996464131501e-07,0.06165756875444239
212,4,0.0,1.2248687744140625,6.844924227422666e-08,0.01817657537408368
213,4,0.0,0.005017518997192383,6.176242048905323e-06,5.167541740958015e-06
214,4,0.0,0.0,1.8627482936128814e-06,2.838536497518085e-08
215,4,0.0,1.2470481395721436,1.5135784505737604e-06,0.09881077043944686
216,4,0.0,0.0,1.4893333055709945e-07,3.930287152398293e-07
217,4,0.0,0.0,1.5860364537267913e-06,4.1906064368602e-08
218,4,0.0,0.14517593383789062,3.1082888185540725e-06,0.9049283359831797
219,4,0.0,0.0,9.118393286655646e-06,1.2613478560241642e-09
220,4,0.0,1.2497189044952393,2.3548639926929127e-06,0.00863612705969874
221,4,0.0,0.0,4.088872364693685e-06,1.4584560087405052e-09
222,4,0.0,0.005016326904296875,5.08100732510286e-06,1.0923502326010137e-06
223,4,0.0,0.0,3.5766374133494594e-06,5.628251409373064e-07
224,4,0.0,0.0,8.430538145365318e-07,2.4783353771984373e-09
225,4,0.0,0.278092622756958,1.6018393798056252e-06,1.5130904149825306
226,4,0.0,0.0,7.2555432013565735e-06,3.7007062747562713e-08
227,4,0.0,1.2450008392333984,2.4973735968103483e-08,0.08235558354330144
228,4,0.0,0.9399290084838867,2.4276867229833243e-06,0.28110727589161105
229,4,0.0,1.2602081298828125,2.7832967619545457e-07,1.2265061578057876
230,4,0.0,0.6863789558410645,4.172019262282944e-06,0.4730620258039184
231,4,0.0,0.0,9.880053855049198e-07,4.9866841989043564e-08
232,4,0.0,0.0,9.665219979915207e-07,5.809700232006776e-06
233,4,0.0,0.00351715087890625,8.231548380699394e-07,5.840352512720415e-08
234,4,0.0,0.0,5.93039563234754e-06,8.87082733380673e-08
235,4,0.0,0.0,2.058331969312377e-06,1.7757046444355495e-08
236,4,0.0,1.264901876449585,9.84057856090459e-07,1.0143039506074172
237,4,0.0,1.2936468124389648,1.0605553790732358e-06,0.06997678130310882
238,4,0.0,0.30593299865722656,9.137643002254947e-07,0.26260403885595557
239,4,0.0,0.0,5.51984791430371e-07,8.955764435603086e-09
240,4,0.0,1.2741191387176514,3.4219711895211447e-06,0.021412331292040176
241,4,0.0,0.0,1.0228569684578304e-06,2.9290448155805393e-07
242,4,0.0,0.0,1.8568026094456513e-07,3.346694039951803e-08
243,4,0.0,1.259857416152954,3.1988639745961223e-06,2.505538385647006
244,4,0.0,0.0,2.2956554655229056e-05,1.8700291315454365e-11
245,4,0.0,0.0,8.683384096208613e-07,2.851385100255399e-09
246,4,0.0,0.0,1.997269226539089e-05,3.892320941112359e-06
247,4,0.0,1.2649879455566406,6.467655677688811e-07,1.206196384867043
248,4,0.0,0.0,1.4800527892155912e-06,4.894255352771992e-06
249,4,0.0,1.2299864292144775,7.690884020750133e-07,0.05353786590478826
250,4,0.0,0.0,6.435114130454167e-08,1.3535196505265468e-07
251,4,0.0,1.2548072338104248,7.163081052752318e-07,1.8854432143590434
252,4,0.0,0.0,5.9033838768485225e-06,1.4262712538792854e-10
253,4,0.0,0.0,1.1971062363613783e-06,2.030374301797977e-06
254,4,0.0,0.00502324104309082,1.0321220002440512e-05,4.4428195337675724e-06
255,4,0.0,0.0,1.5924374103803984e-06,5.83843358381575e-08
256,4,0.0,0.0,1.1305019165241958e-06,2.078741259681216e-08
257,4,0.0,0.0,1.8032293072067773e-06,9.891758451230359e-08
258,4,0.0,1.2480230331420898,8.459042441399944e-06,0.19767791314469424
259,4,0.0,0.0,1.2171574459429735e-07,3.399587644448143e-07
260,4,0.0,0.0,1.833058570932522e-06,7.716735334062363e-09
261,4,0.0,0.0,1.1563048940566034e-06,9.722192723937706e-06
262,4,0.0,1.2553467750549316,1.8633074829743634e-06,0.6899039944579959
263,4,0.0,0.0,9.432431002931452e-07,5.30974740564627e-09
264,4,0.0,0.4551858901977539,1.1920647478014246e-06,0.08781549072979805
265,4,0.0,0.0050201416015625,3.2327640719920225e-06,2.9764226444628505e-08
266,4,0.0,0.44007182121276855,1.3865109758093297e-06,0.8840258621023501
267,4,0.0,0.0,9.492340935501886e-07,7.34553622444567e-06
268,4,0.0,0.0,1.0209089319701548e-05,8.402130820817089e-07
269,4,0.0,1.250108003616333,3.885505342804407e-06,0.12213736720815435
270,4,0.0,0.0,1.539231112790418e-06,1.511424219113877e-08
271,4,0.005007505416870117,1.2537879943847656,6.334367919080819e-07,0.009302687415010114
272,4,0.00020360946655273438,1.2519443035125732,7.740478782380933e-07,0.4263709316260721
273,4,0.0,0.0,1.5050403388006117e-06,1.2257628162481993e-08
274,4,0.0,0.0,1.32719864875952e-07,2.5090906352609466e-08
275,4,0.0,1.0410172939300537,2.1507542911081146e-06,0.0023002998327852353
276,4,0.0,0.0,6.176985674066771e-07,1.4210060952923875e-07
277,4,0.0,0.0,3.651436930596219e-09,4.8825132922813985e-08
278,4,0.0,0.0,1.817976405416033e-06,3.36729342326203e-13
279,4,0.0,0.0,4.589481634731385e-07,8.904096563122632e-07
280,4,0.0,1.3228089809417725,3.908459929036212e-07,0.1252280226346295
281,4,0.0,0.0,6.477352598732722e-07,1.7940521473969184e-07
282,4,0.0,0.0,6.558418488289419e-07,3.845532586810307e-09
283,4,0.0,1.2710108757019043,9.484724210473416e-07,0.7248297338277128
284,4,0.0,0.0,1.8870847173779737e-07,7.452971318266943e-06
285,4,0.0,0.0,1.8718046153054502e-06,1.7786358430527116e-07
286,4,0.0,1.2899441719055176,1.1876707677327403e-06,0.02132680767275444
287,4,0.0,1.2527875900268555,6.5843466630077785e-06,0.19398658608269448
288,4,0.0,0.10442566871643066,3.4388174383614967e-06,0.8785307853568474
289,4,0.0,0.0,8.25514680169448e-07,8.034794782285637e-08
290,4,0.0,0.0,5.575322023165796e-06,1.3684739180730432e-07
291,4,0.0,1.2678687572479248,2.0539081364567835e-06,0.16452857015054567
292,4,0.0,0.0,5.0439848298111656e-08,6.68030394057606e-08
293,4,0.0,0.0,2.917785617562174e-07,2.319221079072342e-09
294,4,0.0,0.0,9.268972727127789e-07,8.000627471638211e-08
295,4,0.0,0.0,1.6696227689294574e-07,5.608340229723563e-09
296,4,0.0,0.5098819732666016,2.3829752049397968e-06,0.49906368887834396
297,4,0.0,0.9076893329620361,3.881481492440386e-06,0.009877644938475982
298,4,0.0,0.00553131103515625,7.312381691271241e-07,7.697085571689577e-08
299,4,0.0,0.0,1.7641611855800932e-06,2.1331348860897936e-08
300,4,0.0,0.0,6.714036433486115e-07,3.857269298412902e-08
301,5,0.0,0.0025162696838378906,7.419310690259806e-07,8.827084083395942e-07
302,5,0.0,1.2712571620941162,2.986447640296319e-07,0.36086069087047984
303,5,0.0,1.2881553173065186,2.504585234319734e-06,0.22791548676640944
304,5,0.0050160884857177734,0.0010044574737548828,8.725423472633054e-07,3.9529707746011056e-07
305,5,0.0,0.0,1.921603136612049e-06,1.0887952785199051e-07
306,5,0.0,0.0,3.2341478584108074e-06,3.580345159792664e-07
307,5,0.0,0.0,9.415914772326062e-07,6.576096811539145e-08
308,5,0.0,0.0,5.848804240926597e-08,2.6154608340211993e-10
309,5,0.0,0.0,3.859045103471459e-06,1.5612138879461668e-06
310,5,0.0,0.0,2.2696286521295406e-06,2.7807096902865425e-13
311,5,0.0,0.004004240036010742,2.476293360365034e-06,3.060666868559547e-08
312,5,0.0,0.0,1.7604334386245313e-05,7.933726605680036e-07
313,5,0.0,0.0,5.963433267197615e-07,1.0852516801884704e-13
314,5,0.0,0.0,4.6171913981041257e-07,6.385253592533502e-08
315,5,0.0,1.2598011493682861,6.508604446509025e-07,0.04608302726099528
316,5,0.0,0.013555765151977539,2.171535284034576e-06,4.805602452084834e-07
317,5,0.0,0.0,4.4763979767381556e-07,2.0137511419493492e-07
318,5,0.0,0.0,7.77311920607815e-07,3.211927640522916e-09
319,5,0.0,1.3278765678405762,1.0862234853803443e-06,0.12110287647161211
320,5,0.0010006427764892578,0.00099945068359375,5.117096302242885e-06,1.0451828444391076e-07
321,5,0.0,0.002535581588745117,2.5403626175979355e-06,1.808219077581441e-06
322,5,0.0,0.0010063648223876953,2.7969425664409187e-07,3.852724611563829e-09
323,5,0.0,0.15299129486083984,2.192248462318247e-06,0.09193483651990436
324,5,0.0,0.0,1.0092700755137685e-06,3.223485280645644e-07
325,5,0.0,1.4190523624420166,3.954332159494811e-07,0.6317355566493934
326,5,0.0,0.0,1.354750893689527e-06,1.0928491445127975e-09
327,5,0.0,0.0,2.2081134831708482e-07,4.616679954994041e-11
328,5,0.0,0.005048990249633789,8.004018878793318e-07,7.86203199681923e-07
329,5,0.0,0.005004405975341797,6.198154010039758e-06,3.686129539381966e-07
330,5,0.0,0.0,3.7309825606790525e-06,8.371421711395044e-08
331,5,0.0,0.0,1.94456299107415e-06,8.23213745781981e-09
332,5,0.0,0.0,5.468774926242759e-07,1.1228074026092827e-11
333,5,0.0,0.0,1.5492722443610774e-05,2.9382459879045975e-07
334,5,0.0,0.0,1.2771997561777937e-06,3.0055006977613985e-07
335,5,0.0,0.005530118942260742,1.9167027185407193e-06,2.7892865867018557e-07
336,5,0.0,0.0,1.2803223583546242e-06,1.9495761949261947e-10
337,5,0.0,0.016078472137451172,4.0130825276207815e-06,0.02694192523200456
338,5,0.0,0.012581586837768555,2.3263714943322356e-05,1.1116573375713479e-06
339,5,0.0,0.0,2.9820997828888807e-06,2.6248895054759025e-07
340,5,0.0,1.2852373123168945,1.5972685791787455e-06,0.11844737167536531
341,5,0.0,0.015107154846191406,1.312078481419121e-06,3.0699071106310427e-06
342,5,0.0,0.17490267753601074,1.0379295658502485e-06,6.39589507668109
343,5,0.0,0.005036592483520508,2.7730423837191154e-06,2.3390253796606864e-06
344,5,0.0,0.0,6.756581494293812e-07,1.9804103923437566e-07
345,5,0.0,0.0,5.686383541814166e-08,4.2689594914602225e-11
346,5,0.0,0.0,2.8033759906342937e-05,2.401062570545065e-06
347,5,0.0,0.0,8.778759079675069e-07,1.7593279422190022e-07
348,5,0.0,0.0,9.989356637429836e-07,1.4766620204387237e-08
349,5,0.0,1.384819507598877,1.3759547332625743e-06,0.01317693230659106
350,5,0.0,0.002523183822631836,5.605885377679698e-06,4.125588201620012e-07
351,5,0.0,0.0,1.8644079400331748e-06,7.049057210023468e-07
352,5,0.0,0.0,2.8692346478731423e-06,3.498724443162793e-06
353,5,0.0,0.0,2.791972684157429e-07,8.05854362406766e-10
354,5,0.0,1.377427577972412,8.044769659321105e-07,2.0594034360239117
355,5,0.0,0.0,1.6320683480230969e-06,6.588315422106916e-07
356,5,0.0,1.335336446762085,8.075288260300795e-08,0.004885252889836156
357,5,0.0,0.0,5.335246848758857e-07,3.948297758182839e-09
358,5,0.0,1.325840950012207,8.280102887781027e-07,0.16496232266042496
359,5,0.0,0.0,9.216290477453981e-07,1.8289750411404349e-07
360,5,0.0,1.3346226215362549,3.3450923924149834e-06,0.3388923285078075
361,5,0.0,1.4032297134399414,1.3611826843451524e-06,0.27577038371108814
362,5,0.0,0.0,1.8088979176766884e-06,3.814873764107496e-13
363,5,0.0,1.299431324005127,9.308562454179992e-07,0.7956158074607798
364,5,0.0,0.0,6.814453437087309e-07,6.798392118700924e-08
365,5,0.0,1.3619213104248047,1.9489344928125263e-05,0.041572102695128094
366,5,0.0,0.5832581520080566,6.105150441637619e-06,3.8827958398629305
367,5,0.00048732757568359375,0.0,2.756434363870852e-06,5.323856028249807e-08
368,5,0.0,0.0,8.333374732494292e-06,7.40211562877402e-09
369,5,0.0,0.0010364055633544922,2.0599342911431506e-06,7.12558557575127e-08
370,5,0.0,0.001001119613647461,1.0565854857702561e-07,1.4260586600478575e-07
371,5,0.0,0.0005888938903808594,2.7891832536930394e-06,7.810450841638783e-09
372,5,0.0,0.0,7.510249324660379e-07,3.130329571943147e-10
373,5,0.0,0.0010008811950683594,3.636945922202983e-07,1.6594318169582678e-08
374,5,0.0,0.0,7.319618706702613e-07,3.2716455530823474e-07
375,5,0.0,0.0,8.73205878826333e-06,2.297275147888911e-09
376,5,0.0005440711975097656,0.0,5.00840120931656e-07,1.967548693415644e-09
377,5,0.0,1.437446117401123,2.075241212207146e-06,0.43942320129648227
378,5,0.0,0.0,8.524695822575978e-07,5.097536587284068e-09
379,5,0.0,0.0010094642639160156,8.803890212405463e-07,1.0973437947203735e-07
380,5,0.00040531158447265625,8.320808410644531e-05,1.9274513287648176e-06,2.4852862823276922e-12
