,0,1,2,3,4,5,6,7,8,9,10,11
0.1,-0.7950041652780258,-0.6985310343667417,-0.6000139576313671,-0.49946865134463264,-0.39691502161472814,-0.2923771232640613,-0.18588311013776693,-0.07746517694462096,0.03284050724950027,0.14499387373823136,0.2589510369470457,0.3746643850903216
0.14545454545454545,0.09647313091128407,0.09851707673537458,0.10054530628673447,0.1025536297299045,0.10453789835066685,0.10649401312629436,0.10841793319314597,0.11030568419412123,0.11215336648873109,0.11395716320881433,0.11571334814327594,
0.19090909090909092,0.0020439458240905095,0.0020282295513598947,0.0020083234431700347,0.0019842686207623417,0.0019561147756275155,0.0019239200668516032,0.0018877510009752685,0.0018476822946098537,0.0018037967200832394,0.0017561849344616132,,
0.23636363636363636,-1.5716272730614822e-05,-1.990610818985994e-05,-2.4054822407693077e-05,-2.8153845134826216e-05,-3.219470877591224e-05,-3.616906587633473e-05,-4.006870636541482e-05,-4.3885574526614235e-05,-4.761178562162627e-05,,,
0.28181818181818186,-4.189835459245117e-06,-4.148714217833138e-06,-4.099022727133139e-06,-4.040863641086023e-06,-3.9743571004224876e-06,-3.899640489080092e-06,-3.816868161199416e-06,-3.726211095012033e-06,,,,
0.32727272727272727,4.1121241411978815e-08,4.969149069999901e-08,5.815908604711595e-08,6.650654066353567e-08,7.471661134239582e-08,8.277232788067579e-08,9.06570661873829e-08,,,,,
0.3727272727272727,8.570249288020193e-09,8.46759534711694e-09,8.347454616419725e-09,8.210070678860149e-09,8.055716538279967e-09,7.884738306707106e-09,,,,,,
0.4181818181818182,-1.026539409032523e-10,-1.2014073069721576e-10,-1.3738393755957645e-10,-1.5435414058018182e-10,-1.709782315728603e-10,,,,,,,
0.4636363636363636,-1.7486789793963453e-11,-1.7243206862360694e-11,-1.6970203020605368e-11,-1.6624090992678475e-11,,,,,,,,
0.5090909090909091,2.4358293160275934e-13,2.73003841755326e-13,3.4611202792689255e-13,,,,,,,,,
0.5545454545454546,2.942091015256665e-14,7.310818617156656e-14,,,,,,,,,,
0.6,4.368727601899991e-14,,,,,,,,,,,
