,0,1,2,3,4,5,6,7,8,9,10
0.1,-0.7950041652780258,-0.6887710779360422,-0.5800665778412416,-0.46891242171064473,-0.3553364891256059,-0.23937271284737893,-0.12106099400288506,-0.0004471023526767537,0.12241743810962724,0.2474754779404944,0.3746643850903216
0.15000000000000002,0.10623308734198356,0.1087045000948006,0.11115415613059687,0.11357593258503884,0.11596377627822696,0.11831171884449387,0.1206138916502083,0.122864540462304,0.12505803983086716,0.12718890714982722,
0.2,0.002471412752817037,0.002449656035796277,0.0024217764544419706,0.0023878436931881186,0.002347942566266914,0.002302172805714431,0.0022506488120956902,0.0021934993685631676,0.0021308673189600613,,
0.25,-2.1756717020759986e-05,-2.787958135430646e-05,-3.393276125385203e-05,-3.990112692120462e-05,-4.576976055248316e-05,-5.1523993618740604e-05,-5.7149443532522604e-05,-6.263204960310631e-05,,,
0.30000000000000004,-6.122864333546474e-06,-6.053179899545569e-06,-5.968365667352593e-06,-5.8686336312785414e-06,-5.7542330662574415e-06,-5.625449913781999e-06,-5.4826060705837065e-06,,,,
0.35,6.968443400090507e-08,8.481423219297568e-08,9.973203607405168e-08,1.1440056502109996e-07,1.2878315247544236e-07,1.4284384319829257e-07,,,,,
0.4,1.512979819207061e-08,1.4917803881075997e-08,1.4668528947048287e-08,1.43825874543424e-08,1.4060690722850211e-08,,,,,,
0.45000000000000007,-2.1199431099461208e-10,-2.4927493402771006e-10,-2.8594149270588787e-10,-3.2189673149218834e-10,,,,,,,
0.5,-3.728062303309798e-11,-3.666655867817781e-11,-3.595523878630047e-11,,,,,,,,
0.55,6.140643549201741e-13,7.113198918773378e-13,,,,,,,,,
0.6,9.725553695716371e-14,,,,,,,,,,
