,0,1,2,3,4,5,6,7,8,9
0.1,-0.7950041652780258,-0.6768145004748009,-0.55557646671592,-0.43132131189723055,-0.3040895936217749,-0.1739310540541953,-0.040904466435018216,0.09492254627158547,0.23347372003697775,0.3746643850903216
0.15555555555555556,0.1181896648032249,0.12123803375888087,0.12425515481868943,0.12723171827545565,0.1301585395675796,0.13302658761917707,0.1358270127066037,0.13855117376539228,0.14119066505334388,
0.2111111111111111,0.0030483689556559668,0.0030171210598085585,0.0029765634567662236,0.00292682129212396,0.0028680480515974605,0.0028004250874266168,0.002724161058788588,0.002639491287951601,,
0.26666666666666666,-3.124789584740828e-05,-4.055760304233491e-05,-4.974216464226355e-05,-5.877324052649957e-05,-6.762296417084368e-05,-7.626402863802895e-05,-8.466977083698701e-05,,,
0.3222222222222222,-9.30970719492663e-06,-9.184561599928642e-06,-9.031075884236017e-06,-8.84972364434411e-06,-8.641064467185267e-06,-8.405742198958066e-06,,,,
0.37777777777777777,1.251455949979885e-07,1.5348571569262504e-07,1.8135223989190763e-07,2.0865917715884308e-07,2.3532226822720048e-07,,,,,
0.43333333333333335,2.834012069463654e-08,2.7866524199282594e-08,2.730693726693545e-08,2.6663091068357403e-08,,,,,,
0.4888888888888888,-4.735964953539451e-10,-5.595869323471447e-10,-6.438461985780464e-10,,,,,,,
0.5444444444444444,-8.599043699319964e-11,-8.425926623090163e-11,,,,,,,,
0.6,1.7311707622980066e-12,,,,,,,,,
